Kind,Name,CoverageLinesFound,CoverageLinesHit,CoverageLinesPercent,CoverageFunctionsFound,CoverageFunctionsHit,CoverageFunctionsPercent,CoverageHits,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"app.h",0,0,0.00,0,0,0.00,,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,17,4,8,0,0,2,0,4,,8,8,8,0,0,,0,,0,,0.25,0
File,"auth.c",123,108,0.88,0,0,0.00,,15,1,14,0,5,0.00,0.00,0,0,,,,0,,,,,,11,,,,,,,,,,,,,,186,22,157,49,119,2,0,5,,113,168,51,0,130,,18,,3,,0.01,60
File,"auth.h",0,0,0.00,0,0,0.00,,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,16,4,6,0,0,2,0,6,,6,6,6,0,0,,0,,0,,0.33,0
Function,"auth_add(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,4,20,1,19,2,15,0,0,0,8,13,19,1,0,19,7,,,2,,0.00,
Function,"auth_change_password(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,2,3,0,0,0,2,3,4,1,0,3,2,,,1,,0.00,
Function,"auth_check(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,4,13,1,12,4,9,0,0,0,5,8,11,3,0,9,5,,,1,,0.00,
Function,"auth_delete(const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,3,0,0,0,2,3,4,1,0,3,2,,,1,,0.00,
Function,"auth_init(const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,3,10,0,10,2,7,0,0,0,6,6,8,1,0,8,4,,,1,,0.00,
Function,"auth_rename_user(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,4,15,2,13,3,10,0,0,0,6,9,12,2,0,11,4,,,1,,0.00,
Static Function,"cambia_password()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,16,1,15,3,11,0,0,0,4,8,10,2,0,8,3,,,1,,0.00,
