Kind,Name,CoverageLinesFound,CoverageLinesHit,CoverageLinesPercent,CoverageFunctionsFound,CoverageFunctionsHit,CoverageFunctionsPercent,CoverageHits,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"app.h",0,0,0.00,0,0,0.00,,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,17,4,8,0,0,2,0,4,,8,8,8,0,0,,0,,0,,0.25,0
File,"auth.c",123,93,0.76,0,0,0.00,,17,1,16,0,6,0.00,0.00,0,0,,,,0,,,,,,10,,,,,,,,,,,,,,187,22,159,52,122,1,0,5,,116,169,57,0,127,,18,,3,,0.01,59
File,"auth.h",0,0,0.00,0,0,0.00,,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,16,4,6,0,0,2,0,6,,6,6,6,0,0,,0,,0,,0.33,0
Function,"auth_add(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,4,21,1,20,2,16,0,0,0,8,13,19,1,0,19,7,,,2,,0.00,
Function,"auth_change_password(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,2,3,0,0,0,2,3,4,1,0,3,2,,,1,,0.00,
Function,"auth_check(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,4,20,0,20,8,16,0,0,0,5,16,22,10,0,15,9,,,2,,0.00,
Function,"auth_delete(const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,3,0,0,0,2,3,4,1,0,3,2,,,1,,0.00,
Function,"auth_init(const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,3,10,0,10,2,7,0,0,0,6,6,8,1,0,8,4,,,1,,0.00,
Function,"auth_rename_user(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,4,15,2,13,3,10,0,0,0,6,9,12,2,0,11,4,,,1,,0.00,
Function,"cancella_utente()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,15,1,14,4,10,2,0,0,4,9,11,3,0,8,3,,,2,,0.14,
File,"config.h",0,0,0.00,0,0,0.00,,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,4,0,0,0,0,1,0,4,,0,0,0,0,0,,0,,0,,0.00,0
Function,"crea_utente()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,24,2,20,7,16,2,0,0,3,12,15,7,0,8,3,,,1,,0.10,
Static Function,"ct_str_eq(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,3,10,0,10,6,7,0,0,0,2,8,11,7,0,6,5,,,1,,0.00,
Function,"demo_comment_mix()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,27,4,7,1,4,6,7,4,2,5,5,0,1,4,1,,,0,,0.86,
Function,"demo_ub()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,12,0,12,9,10,0,0,0,7,29,30,11,0,20,3,,,1,,0.00,
Function,"demo_unspecified()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,3,4,0,0,0,4,8,9,4,0,6,1,,,0,,0.00,
Function,"effettua_login()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,20,1,19,4,16,0,0,0,4,31,35,4,0,32,4,,,1,,0.00,
Static Function,"f_side(int *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,2,2,2,0,0,2,1,,,0,,0.00,
Static Function,"find_user(FILE *,const char *,char *,size_t)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,7,20,0,20,5,15,0,0,0,9,12,16,4,0,13,6,,,3,,0.00,
Static Function,"g_side(int *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,2,2,2,0,0,2,1,,,0,,0.00,
Function,"main()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,0,58,5,51,10,42,2,0,0,13,77,93,9,5,79,15,,,3,,0.04,
File,"main.c",225,86,0.38,0,0,0.00,,30,2,26,1,10,0.00,0.00,0,0,,,,0,,,,,,11,,,,,,,,,,,,,,354,33,284,56,236,21,7,12,,273,394,74,10,316,,71,,4,,0.07,106
Function,"modifica_utente()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,152,9,143,14,125,0,0,0,13,93,171,21,4,148,71,,,4,,0.00,
File,"pthread_compat.h",0,0,0.00,0,0,0.00,,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,48,2,0,0,0,1,39,15,,0,0,0,0,0,,0,,0,,0.00,0
Function,"read_line(const char *,char *,size_t)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,9,10,0,10,2,7,0,0,0,5,5,7,1,0,7,3,,,2,,0.00,
Static Function,"rewrite_db_skip_or_replace(const char *,const char *,const char *,int *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,8,60,8,51,17,42,1,0,0,17,43,56,15,0,46,18,,,3,,0.02,
Static Function,"trim_nl(char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,2,0,0,0,2,2,3,1,0,3,2,,,1,,0.00,
